iter	Passed	Remaining
606	4204	2721
607	4210	2714
608	4217	2707
609	4224	2700
610	4230	2693
611	4237	2686
612	4244	2679
613	4250	2672
614	4257	2665
615	4264	2658
616	4271	2651
617	4277	2644
618	4284	2637
619	4290	2629
620	4297	2622
621	4304	2615
622	4310	2608
623	4317	2601
624	4324	2594
625	4330	2587
626	4337	2580
627	4344	2573
628	4350	2566
629	4357	2559
630	4364	2552
631	4371	2545
632	4378	2538
633	4384	2531
634	4391	2524
635	4398	2517
636	4405	2510
637	4411	2503
638	4418	2496
639	4425	2489
640	4431	2482
641	4438	2475
642	4445	2468
643	4452	2461
644	4458	2453
645	4465	2446
646	4472	2439
647	4478	2432
648	4485	2425
649	4491	2418
650	4498	2411
651	4504	2404
652	4511	2397
653	4518	2390
654	4524	2383
655	4532	2376
656	4539	2369
657	4546	2363
658	4559	2359
659	4566	2352
660	4573	2345
661	4579	2338
662	4586	2331
663	4593	2324
664	4600	2317
665	4606	2310
666	4613	2303
667	4619	2296
668	4626	2289
669	4632	2281
670	4639	2274
671	4646	2267
672	4652	2260
673	4659	2253
674	4665	2246
675	4672	2239
676	4679	2232
677	4685	2225
678	4692	2218
679	4699	2211
680	4705	2204
681	4712	2197
682	4719	2190
683	4727	2183
684	4733	2176
685	4740	2169
686	4747	2162
687	4753	2155
688	4760	2148
689	4767	2141
690	4773	2134
691	4780	2127
692	4787	2120
693	4793	2113
694	4800	2106
695	4807	2099
696	4814	2092
697	4820	2085
698	4827	2078
699	4833	2071
700	4840	2064
701	4847	2057
702	4853	2050
703	4860	2043
704	4866	2036
705	4873	2029
706	4879	2022
707	4886	2015
708	4893	2008
709	4900	2001
710	4907	1994
711	4914	1987
712	4921	1980
713	4927	1973
714	4934	1966
715	4941	1959
716	4947	1952
717	4954	1945
718	4960	1938
719	4967	1931
720	4974	1924
721	4980	1917
722	4987	1910
723	4993	1903
724	5000	1896
725	5006	1889
726	5013	1882
727	5019	1875
728	5026	1868
729	5033	1861
730	5039	1854
731	5046	1847
732	5053	1840
733	5059	1833
734	5066	1826
735	5072	1819
736	5079	1812
737	5086	1805
738	5094	1799
739	5100	1792
740	5107	1785
741	5113	1778
742	5120	1771
743	5126	1764
744	5133	1757
745	5140	1750
746	5146	1743
747	5153	1736
748	5159	1729
749	5166	1722
750	5187	1719
751	5194	1712
752	5200	1705
753	5207	1699
754	5214	1691
755	5220	1684
756	5227	1677
757	5233	1670
758	5240	1663
759	5246	1656
760	5254	1650
761	5262	1643
762	5269	1636
763	5276	1629
764	5283	1623
765	5290	1616
766	5297	1609
767	5304	1602
768	5311	1595
769	5318	1588
770	5325	1581
771	5333	1575
772	5339	1568
773	5346	1561
774	5354	1554
775	5361	1547
776	5368	1540
777	5375	1533
778	5382	1526
779	5389	1519
780	5395	1513
781	5402	1506
782	5409	1499
783	5415	1492
784	5422	1485
785	5430	1478
786	5437	1471
787	5444	1464
788	5451	1457
789	5458	1450
790	5464	1443
791	5471	1436
792	5477	1429
793	5484	1422
794	5491	1415
795	5497	1408
796	5504	1401
797	5511	1395
798	5517	1388
799	5524	1381
800	5530	1374
801	5537	1367
802	5544	1360
803	5550	1353
804	5558	1346
805	5564	1339
806	5572	1332
807	5578	1325
808	5585	1318
809	5592	1311
810	5599	1304
811	5606	1298
812	5614	1291
813	5621	1284
814	5627	1277
815	5634	1270
816	5641	1263
817	5648	1256
818	5654	1249
819	5661	1242
820	5668	1235
821	5675	1228
822	5681	1221
823	5688	1214
824	5694	1208
825	5701	1201
826	5708	1194
827	5714	1187
828	5721	1180
829	5728	1173
830	5735	1166
831	5742	1159
832	5749	1152
833	5755	1145
834	5762	1138
835	5769	1131
836	5776	1124
837	5782	1117
838	5790	1111
839	5797	1104
840	5804	1097
841	5810	1090
842	5817	1083
843	5824	1076
844	5831	1069
845	5838	1062
846	5845	1055
847	5852	1048
848	5858	1042
849	5865	1035
850	5872	1028
851	5879	1021
852	5885	1014
853	5892	1007
854	5898	1000
855	5905	993
856	5911	986
857	5918	979
858	5925	972
859	5931	965
860	5938	958
861	5945	951
862	5951	944
863	5958	937
864	5964	930
865	5986	926
866	5993	919
867	6000	912
868	6007	905
869	6014	898
870	6022	891
871	6034	885
872	6041	878
873	6048	871
874	6055	865
875	6061	858
876	6068	851
877	6074	844
878	6081	837
879	6088	830
880	6094	823
881	6101	816
882	6107	809
883	6114	802
884	6120	795
885	6127	788
886	6134	781
887	6140	774
888	6147	767
889	6153	760
890	6160	753
891	6167	746
892	6174	739
893	6181	732
894	6188	725
895	6194	719
896	6201	712
897	6208	705
898	6214	698
899	6221	691
900	6228	684
901	6234	677
902	6241	670
903	6248	663
904	6254	656
905	6261	649
906	6268	642
907	6275	635
908	6283	629
909	6290	622
910	6297	615
911	6304	608
912	6311	601
913	6318	594
914	6326	587
915	6332	580
916	6339	573
917	6346	566
918	6353	560
919	6360	553
920	6367	546
921	6374	539
922	6380	532
923	6387	525
924	6393	518
925	6400	511
926	6407	504
927	6413	497
928	6420	490
929	6426	483
930	6433	476
931	6440	469
932	6446	462
933	6453	456
934	6460	449
935	6467	442
936	6474	435
937	6481	428
938	6489	421
939	6495	414
940	6503	407
941	6510	400
942	6517	393
943	6525	387
944	6532	380
945	6540	373
946	6547	366
947	6554	359
948	6560	352
949	6567	345
950	6574	338
951	6581	331
952	6588	324
953	6595	318
954	6601	311
955	6608	304
956	6615	297
957	6621	290
958	6628	283
959	6634	276
960	6641	269
961	6648	262
962	6654	255
963	6661	248
964	6668	241
965	6674	234
966	6681	228
967	6688	221
968	6694	214
969	6702	207
970	6709	200
971	6716	193
972	6723	186
973	6730	179
974	6736	172
975	6743	165
976	6750	158
977	6756	151
978	6763	145
979	6769	138
980	6776	131
981	6783	124
982	6790	117
983	6796	110
984	6803	103
985	6809	96
986	6816	89
987	6823	82
988	6829	75
989	6836	69
990	6842	62
991	6849	55
992	6856	48
993	6863	41
994	6869	34
995	6876	27
996	6883	20
997	6890	13
998	6897	6
999	6904	0
